Entry,Pass,Range,Code,Pedigree,Site Release,Year Release,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm),Origin,Country,Section
65,9,5,GEMN-0337,GEMN-0287/GEMN-0272-029-01,Raleigh,2025.0,1640,1612,287,127,Tropical Hybrid/Cateto/Mixed,Thailand/Brazil,GEM Released Line
66,10,5,GEMS-0338,GEMS-0293/GEMS-0281-034-03,Raleigh,2025.0,1539,1539,236,97,Tropical Inbred/Dente Amarelo,Mexico/Brazil,GEM Released Line
67,11,5,GEMS-0339,HC33/Ki30//PH42B-012-001-001-B,Ames,2025.0,1545,1545,188,58,Tropical Inbred,Thailand,GEM Released Line
68,12,5,GEMS-0340,PHHB9/Ki59//LH244-021-001-001-B,Ames,2025.0,1525,1525,239,91,Tropical Inbred,Thailand,GEM Released Line
69,13,5,GEMS-0341,PHK29/55T3//PHTP9-083-001-001-B,Ames,2025.0,1455,1480,218,91,Tropical Inbred,Brazil,GEM Released Line
70,14,5,GEMN-0342,HBA1/CML323//GEMN-0097-029-001-001-B,Ames,2025.0,1678,1678,226,97,Tropical Inbred,Mexico,GEM Released Line
71,15,5,GEMN-0343,GEMN-0287/GEMN-0310-B-51-B,Raleigh,2026.0,1525,1525,251,112,Tropical Hybrid/Mixed,Thailand/Mixed,GEM Released Line
72,16,5,GEMN-0178,DK888:N11a08a-440-001,Ames,2008.0,1566,1545,290,127,Tropical Hybrid,Thailand,GEM Released Line
73,17,5,GEMN-0287,(GEMN-0108/GEMN-0178)-B-004,Raleigh,2016.0,1566,1586,302,145,Tropical Hybrid,Thailand,GEM Released Line
74,18,5,GEMS-0298,(GEMS-0219/GEMS-0227)-B-015-001,Ames,2018.0,1426,1480,290,109,Creole/Tropical Inbred,Cuba/Thailand,GEM Released Line
75,19,5,GEMS-0303,(GEMS-0162/GEMS-0227)-040-002-001,Ames,2019.0,1455,1480,279,91,Argentino/Tropical Inbred,Cuba/Thailand,GEM Released Line
76,20,5,GEMS-0304,(GEMS-0162/GEMS-0227)-046-001-001,Ames,2019.0,1368,1426,196,58,Argentino/Tropical Inbred,Cuba/Thailand,GEM Released Line
77,21,5,GEMS-0306,((LH195/KO679Y)/GEMS-0227)-010-001-002,Ames,2019.0,1426,1480,284,119,Tropical Inbred/Tropical Inbred,South Africa/Thailand,GEM Released Line
78,22,5,GEMS-0307,((PHB47/CML373)/GEMS-0162)-SIB-053-002,Ames,2019.0,1566,1586,221,91,Tropical Inbred/Argentino,Mexico/Cuba,GEM Released Line
79,23,5,GEMS-0308,((PHB47/CML373)/GEMS-0162)-SIB-086-001,Ames,2019.0,1545,1525,241,91,Tropical Inbred/Argentino,Mexico/Cuba,GEM Released Line
80,24,5,GEMN-0309,ATL100:N(LH82)(GEMN-0097)-090-001,Ames,2019.0,1480,1503,239,89,Tropical Hybrid,Brazil,GEM Released Line
81,25,5,GEMS-0313,((GEMS-0162/PHP38)/GEMS-0227)-206-001-001,Ames,2020.0,1426,1480,239,94,Argentino/Tropical Inbred,Cuba/Thailand,GEM Released Line
82,26,5,GEMS-0314,((GEMS-0227/Ki14)/12)-080-001-002,Ames,2020.0,1480,1503,279,127,Tropical Inbred,Thailand,GEM Released Line
83,27,5,GEMS-0320,La Posta Sequia C7 F71-1-1-1-2-B*4:S40b-B-031,Raleigh,2021.0,1606,1606,287,142,Tropical Inbred,Mexico,GEM Released Line
84,28,5,GEMS-0321,La Posta Sequia C7 F71-1-1-1-2-B*4:S40b-B-018,Raleigh,2021.0,1621,1640,295,145,Tropical Inbred,Mexico,GEM Released Line
85,1,7,GEMS-0326/PH1GD,,,,1330,1347,274,119,,,Hybrid
86,2,7,GEMS-0330/PH1GD,,,,1315,1330,312,114,,,Hybrid
87,3,7,PC2754/GEMN-0331,,,,1606,1621,333,163,,,Hybrid
88,4,7,GEMS-0332/PH1GD,,,,1396,1426,330,117,,,Hybrid
89,5,7,GEMS-0333/PH1GD,,,,1396,1396,340,127,,,Hybrid
90,6,7,GEMS-0334/PH1GD,,,,1368,1396,295,127,,,Hybrid
91,7,7,GEMS-0335/PH1GD,,,,1368,1426,287,104,,,Hybrid
92,8,7,GEMS-0336/PH1GD,,,,1396,1396,325,124,,,Hybrid
93,9,7,GEMN-0337,GEMN-0287/GEMN-0272-029-01,Raleigh,2025.0,1751,1723,300,140,Tropical Hybrid/Cateto/Mixed,Thailand/Brazil,GEM Released Line
